catalogNumber,scientificName,Sex,Sociality,Median.Ocellar.Width,Median Ocellar Height,Lateral Ocellar Width ,Lateral Ocellar Length ,lateral-median distance ,lateral-lateral distance,eye length,Head Width,intertegular span,Corrected.MOW,Corrected.ITS,Corrected.MOH,Corrected.LOW,Corrected.LOL,Corrected.LMD,Corrected.LLD,Corrected.EL,Corrected.HW,MOW.to.ITS.Ratio
UCSB-IZC00002380,Lasioglossum incompletum,Male,Solitary,0.43,0.35,0.4,0.4,0.4,1.15,0.6,0.9,0.65,0.1075,0.8125,0.0875,0.1,0.1,0.1,0.2875,0.75,1.125,0.1323076923
UCSB-IZC00023264,Lasioglossum incompletum,Male,Solitary,0.45,0.4,0.4,0.42,0.4,1.2,0.68,0.93,0.7,0.1125,0.875,0.1,0.1,0.105,0.1,0.3,0.85,1.1625,0.1285714286
UCSB-IZC00023105,Lasioglossum incompletum,Male,Solitary,0.5,0.43,0.45,0.45,0.45,1.25,0.7,0.98,0.75,0.125,0.9375,0.1075,0.1125,0.1125,0.1125,0.3125,0.875,1.225,0.1333333333
UCSB-IZC00010281,Bombus melanopygus,Female,Social,1,0.9,0.8,0.85,0.85,2.7,1.8,2.8,2.9,0.25,3.625,0.225,0.2,0.2125,0.2125,0.675,2.25,3.5,0.06896551724
UCSB-IZC00035612,Bombus melanopygus,Female,Social,1,0.95,0.85,0.9,0.85,2.7,1.8,2.9,3,0.25,3.75,0.2375,0.2125,0.225,0.2125,0.675,2.25,3.625,0.06666666667
UCSB-IZC00035503,Bombus melanopygus,Female,Social,1,0.9,0.85,0.95,0.95,2.85,1.9,2.95,3.1,0.25,3.875,0.225,0.2125,0.2375,0.2375,0.7125,2.375,3.6875,0.06451612903
UCSB-IZC00035505,Bombus melanopygus,Female,Social,1,0.9,0.85,1,0.9,2.85,1.9,3,3.1,0.25,3.875,0.225,0.2125,0.25,0.225,0.7125,2.375,3.75,0.06451612903
UCSB-IZC00009120,Bombus melanopygus,Female,Social,0.95,0.85,0.8,0.9,0.9,2.85,1.8,2.8,2.95,0.2375,3.6875,0.2125,0.2,0.225,0.225,0.7125,2.25,3.5,0.06440677966
UCSB-IZC00010290,Bombus melanopygus,Female,Social,1.25,1.2,1,1.15,0.95,3.05,2.2,3.7,4,0.3125,5,0.3,0.25,0.2875,0.2375,0.7625,2.75,4.625,0.0625
UCSB-IZC00028362,Bombus melanopygus,Female,Social,1,0.8,0.8,0.85,0.9,2.7,1.65,2.65,2.8,0.25,3.5,0.2,0.2,0.2125,0.225,0.675,2.0625,3.3125,0.07142857143
UCSB-IZC00035189,Bombus melanopygus,Female,Social,0.95,0.9,0.75,0.9,0.8,2.7,1.7,2.8,2.9,0.2375,3.625,0.225,0.1875,0.225,0.2,0.675,2.125,3.5,0.06551724138
UCSB-IZC00035570,Bombus melanopygus,Queen,Social,1.2,1.15,0.9,1.1,1.05,3.35,2.2,3.7,3.9,0.3,4.875,0.2875,0.225,0.275,0.2625,0.8375,2.75,4.625,0.06153846154
UCSB-IZC00010291,Bombus melanopygus,Male,Social,1,0.95,0.8,0.9,1,2.95,1.8,2.85,2.9,0.25,3.625,0.2375,0.2,0.225,0.25,0.7375,2.25,3.5625,0.06896551724
UCSB-IZC00035333,Bombus melanopygus,Male,Social,0.95,0.9,0.75,0.9,0.85,2.7,1.85,2.85,2.8,0.2375,3.5,0.225,0.1875,0.225,0.2125,0.675,2.3125,3.5625,0.06785714286
UCSB-IZC00009076,Bombus melanopygus,Male,Social,1,1,0.85,1,0.75,2.6,1.9,3,2.95,0.25,3.6875,0.25,0.2125,0.25,0.1875,0.65,2.375,3.75,0.06779661017
UCSB-IZC00010471,Bombus melanopygus,Male,Social,1,1,0.85,1,0.9,2.85,1.8,2.9,2.8,0.25,3.5,0.25,0.2125,0.25,0.225,0.7125,2.25,3.625,0.07142857143
UCSB-IZC00009798,Bombus melanopygus,Male,Social,1,1,0.9,1,0.85,2.7,1.8,2.9,2.75,0.25,3.4375,0.25,0.225,0.25,0.2125,0.675,2.25,3.625,0.07272727273
UCSB-IZC00010520,Bombus melanopygus,Male,Social,1,1.03,0.9,1.05,0.85,2.75,1.9,2.95,2.85,0.25,3.5625,0.2575,0.225,0.2625,0.2125,0.6875,2.375,3.6875,0.0701754386
UCSB-IZC00035522,Bombus melanopygus,Male,Social,1,0.95,0.9,0.95,0.75,2.6,1.8,2.85,2.7,0.25,3.375,0.2375,0.225,0.2375,0.1875,0.65,2.25,3.5625,0.07407407407
UCSB-IZC00028360,Bombus melanopygus,Male,Social,1.05,1,0.9,0.95,0.7,2.65,1.85,2.9,2.85,0.2625,3.5625,0.25,0.225,0.2375,0.175,0.6625,2.3125,3.625,0.07368421053
UCSB-IZC00010311,Bombus melanopygus,Male,Social,1,0.95,0.85,0.9,0.75,2.6,1.7,2.8,2.6,0.25,3.25,0.2375,0.2125,0.225,0.1875,0.65,2.125,3.5,0.07692307692
UCSB-IZC00035557,Bombus melanopygus,Male,Social,1,0.95,0.9,1,0.8,2.7,1.75,2.85,2.7,0.25,3.375,0.2375,0.225,0.25,0.2,0.675,2.1875,3.5625,0.07407407407
